Название,Ru,Eng
Move Horizontal,Передвижение по горизонтали,Move Horizontal
Move Right,Вправо,Move Right
Move Left,Влево,Move Left
Move Vertical,Передвижение по вертикали,Move Vertical
Move Up,Вверх,Move Up
Move Down,Вниз,Move Down
Submit Action,Подтвердить,Submit
Cancel Action,Отмена,Cancel
Show Menu,Показать меню,Show Menu
Show Properties,Показать свойства,Show Properties
Next Unit,Следующий юнит,Next Unit
Hold to Zoom,Изменение размера камеры,Hold to Zoom
Zoom in,Приближение камеры,Zoom in
Zoom out,Отдаление камеры,Zoom out
Main Menu,Главное меню,Main Menu
Move Camera Horizontal,Передвижение камеры по горизонтали,Move Camera Horizontal
Move Camera Left,Камера влево,Move Camera Left
Move Camera Right,Камера вправо,Move Camera Right
Move Camera Vertical,Передвижение камеры по вертикали,Move Camera Vertical
Move Camera Up,Камера вверх,Move Camera Up
Move Camera Down,Камера вниз,Move Camera Down
